source,line_code,station_name,station,entry,bus_stop_count,bus_stop_min_dist,bus_stop_mean_dist,win_count,win_min_dist,win_mean_dist,songtaew_count,songtaew_min_dist,songtaew_mean_dist,minibus_count,minibus_min_dist,minibus_mean_dist,taxi_count,taxi_min_dist,taxi_mean_dist,tuktuk_count,tuktuk_min_dist,tuktuk_mean_dist,samlor_count,samlor_min_dist,samlor_mean_dist,van_count,van_min_dist,van_mean_dist,kiss_ride_count,kiss_ride_min_dist,kiss_ride_mean_dist,park_ride_car_count,park_ride_car_min_dist,park_ride_car_mean_dist,park_ride_moto_count,park_ride_moto_min_dist,park_ride_moto_mean_dist,bike_parking_count,bike_parking_min_dist,bike_parking_mean_dist,bike_share_count,bike_share_min_dist,bike_share_mean_dist,scooter_share_count,scooter_share_min_dist,scooter_share_mean_dist,n_segments,road_width_mean,road_width_min,road_width_max,sw_width_mean,sw_total_length,sidewalk_length,sidewalk_length_1,sidewalk_length_2,road_length_gt4m,road_length_gt4m_atleast1sw,sidewalk_length_surface_neg1,surface_pct_neg1,sidewalk_length_surface_0,surface_pct_0,sidewalk_length_surface_1,surface_pct_1,sidewalk_length_shade_neg1,shade_pct_neg1,sidewalk_length_shade_0,shade_pct_0,sidewalk_length_shade_1,shade_pct_1,sidewalk_length_obstacle_neg1,obs_pct_neg1,sidewalk_length_obstacle_0,obs_pct_0,sidewalk_length_obstacle_1,obs_pct_1
A21,N10,พหลโยธิน 24,N10 พหลโยธิน 24,5987.0,5,50.0,205.7184813,5,24.68168767,220.6621554,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,7.0,27.0,0,0.0,0.0,0,0.0,0.0,5,14.0,112.0912632,0,0.0,0.0,0,0.0,0.0,56,7.31,3.5,31.5,2.96,2860.0,1420.0,1420.0,1440.0,7593.4,1575.0,0.0,0.0,0.0,0.0,2860.0,100.0,1097.0,38.4,440.0,15.4,1323.0,46.3,0.0,0.0,95.0,3.3,2765.0,96.7
A21,N11,รัชโยธิน,N11 รัชโยธิน,12159.0,4,8.0,123.3317166,8,25.0,155.4628451,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,12.0,12.0,0,0.0,0.0,0,0.0,0.0,7,4.0,78.12699616,0,0.0,0.0,0,0.0,0.0,66,7.12,3.4,31.5,2.83,3443.0,1940.0,1486.0,1957.0,9636.7,2159.3,38.0,1.1,0.0,0.0,3405.0,98.9,1693.0,49.2,539.0,15.7,1211.0,35.2,38.0,1.1,178.0,5.2,3227.0,93.7
A21,N12,เสนานิคม,N12 เสนานิคม,11789.0,6,87.0,199.3003166,5,35.0,250.86556,0,0.0,0.0,1,172.5482547,172.5482547,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,83.0,83.0,0,0.0,0.0,0,0.0,0.0,7,5.0,117.360248,0,0.0,0.0,0,0.0,0.0,64,7.32,3.4,24.5,2.42,4170.0,2180.0,2142.0,2028.0,7662.8,2482.8,38.0,0.9,718.0,17.2,3083.0,73.9,1718.0,41.2,1543.0,37.0,909.0,21.8,668.0,16.0,1492.0,35.8,2010.0,48.2
A21,N13,มหาวิทยาลัยเกษตรศาสตร์,N13 มหาวิทยาลัยเกษตรศาสตร์,14375.0,10,15.0,266.1179486,8,12.0,276.7038,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,15.0,15.0,0,0.0,0.0,0,0.0,0.0,8,10.0,189.1881995,0,0.0,0.0,0,0.0,0.0,33,9.15,2.8,28.0,2.61,3818.0,1936.0,1936.0,1882.0,4282.4,2100.4,0.0,0.0,760.0,19.9,3058.0,80.1,1713.0,44.9,1508.0,39.5,597.0,15.6,0.0,0.0,1338.0,35.0,2480.0,65.0
A21,N14,กรมป่าไม้,N14 กรมป่าไม้,5434.0,5,75.0,213.175763,8,55.0,246.3862645,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,12.0,17.36196867,0,0.0,0.0,0,0.0,0.0,7,8.0,117.5619035,0,0.0,0.0,1,201.3844734,201.3844734,46,5.78,1.9,21.0,3.07,2490.0,1381.0,1381.0,1109.0,6184.4,1668.9,0.0,0.0,435.0,17.5,2055.0,82.5,502.0,20.2,1081.0,43.4,907.0,36.4,218.0,8.8,502.0,20.2,1770.0,71.1
A21,N15,บางบัว,N15 บางบัว,8717.0,5,12.37202165,182.559731,4,40.0,214.7806844,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,4,13.20874549,29.35272943,0,0.0,0.0,0,0.0,0.0,7,4.0,84.70776666,0,0.0,0.0,0,0.0,0.0,52,6.14,1.6,21.0,2.58,4205.0,2137.0,2033.0,2172.0,5435.4,2370.5,0.0,0.0,487.0,11.6,3718.0,88.4,2390.0,56.8,1737.0,41.3,78.0,1.9,247.0,5.9,776.0,18.5,3182.0,75.7
A21,N16,กรมทหารราบที่ 11,N16 กรมทหารราบที่ 11,5297.0,6,55.0,190.4138104,3,30.0,239.1893995,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,18.31248098,28.15624049,0,0.0,0.0,0,0.0,0.0,8,8.0,126.6632278,0,0.0,0.0,0,0.0,0.0,43,5.54,3.7,21.0,3.13,2009.0,1053.0,1053.0,956.0,4416.4,1263.4,0.0,0.0,483.0,24.0,1526.0,76.0,105.0,5.2,483.0,24.0,1421.0,70.7,131.0,6.5,352.0,17.5,1526.0,76.0
A21,N18,พหลโยธิน 59,N18 พหลโยธิน 59,3991.0,6,30.0,224.7184938,6,35.0,302.2265003,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,15.23162059,149.1158103,0,0.0,0.0,0,0.0,0.0,15,8.0,185.2068803,0,0.0,0.0,0,0.0,0.0,36,6.7,3.8,28.0,3.9,1684.0,832.0,832.0,852.0,5766.5,1011.8,0.0,0.0,0.0,0.0,1684.0,100.0,93.0,5.5,88.0,5.2,1503.0,89.3,0.0,0.0,0.0,0.0,1684.0,100.0
A21,N19,สายหยุด,N19 สายหยุด,8104.0,9,10.74803896,251.9167591,8,25.0,259.6460147,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,16.18476576,17.13154817,0,0.0,0.0,0,0.0,0.0,12,8.0,143.5109026,0,0.0,0.0,0,0.0,0.0,88,6.46,2.5,21.0,3.39,3294.0,1621.0,1621.0,1673.0,11662.9,1710.5,0.0,0.0,0.0,0.0,3294.0,100.0,2661.0,80.8,633.0,19.2,0.0,0.0,0.0,0.0,643.0,19.5,2651.0,80.5
A21,N20,สะพานใหม่,N20 สะพานใหม่,10180.0,4,42.0,253.2531249,6,30.0,170.692107,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,13.10782779,17.55391389,0,0.0,0.0,0,0.0,0.0,7,8.0,51.95118679,0,0.0,0.0,0,0.0,0.0,58,6.24,1.6,21.0,2.92,1864.0,924.0,924.0,940.0,6656.6,1132.8,0.0,0.0,0.0,0.0,1864.0,100.0,108.0,5.8,1598.0,85.7,158.0,8.5,0.0,0.0,1493.0,80.1,371.0,19.9
A21,N21,โรงพยาบาลภูมิพลอดุลยเดช,N21 โรงพยาบาลภูมิพลอดุลยเดช,2631.0,4,82.0,133.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,14.21845142,31.10922571,0,0.0,0.0,0,0.0,0.0,4,12.0,20.47512062,1,14.0,14.0,0,0.0,0.0,3,21.0,21.0,21.0,4.65,1865.0,985.0,985.0,880.0,997.9,997.9,0.0,0.0,0.0,0.0,1865.0,100.0,0.0,0.0,0.0,0.0,1865.0,100.0,0.0,0.0,0.0,0.0,1865.0,100.0
A21,N22,พิพิธภัณฑ์กองทัพอากาศ,N22 พิพิธภัณฑ์กองทัพอากาศ,2976.0,5,126.0,206.4662633,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,14.0,15.0,0,0.0,0.0,0,0.0,0.0,4,18.0,21.25,0,0.0,0.0,0,0.0,0.0,4,21.0,21.0,21.0,5.19,1920.0,972.0,972.0,948.0,1016.9,1016.9,0.0,0.0,0.0,0.0,1920.0,100.0,0.0,0.0,150.0,7.8,1770.0,92.2,0.0,0.0,0.0,0.0,1920.0,100.0
A21,N23,แยก คปอ.,N23 แยก คปอ.,11503.0,5,18.0,198.7122522,3,30.0,116.6666667,0,0.0,0.0,0,0.0,0.0,1,33.0,33.0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,15.0,15.0,1,120.0,120.0,2,52.0,93.5,7,12.0,26.23836661,0,0.0,0.0,0,0.0,0.0,10,19.23,7.2,35.0,4.64,3306.0,1626.0,1626.0,1680.0,2304.9,1777.7,434.0,13.1,409.0,12.4,2463.0,74.5,1454.0,44.0,0.0,0.0,1852.0,56.0,434.0,13.1,409.0,12.4,2463.0,74.5
A21,N24,คูคต,N24 คูคต,16201.0,4,16.1831892,235.7960168,2,8.0,21.0,0,0.0,0.0,0,0.0,0.0,2,6.0,13.0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,22.77768788,22.77768788,1,30.0,30.0,2,60.0,81.0,6,8.0,64.5100368,0,0.0,0.0,0,0.0,0.0,14,10.24,3.0,21.0,3.13,2628.0,1333.0,1333.0,1295.0,7297.9,1426.6,0.0,0.0,686.0,26.1,1942.0,73.9,822.0,31.3,843.0,32.1,963.0,36.6,0.0,0.0,686.0,26.1,1942.0,73.9
A21,PK02,แคราย,PK02 แคราย,571.0,6,37.0,290.8907764,6,46.0,305.3296657,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,8,9.0,139.3445304,0,0.0,0.0,0,0.0,0.0,10,2.0,257.029225,0,0.0,0.0,0,0.0,0.0,48,8.64,2.6,31.5,3.9,2704.0,1361.0,1361.0,1343.0,6017.4,1966.5,0.0,0.0,792.0,29.3,1782.0,65.9,871.0,32.2,1158.0,42.8,675.0,25.0,0.0,0.0,333.0,12.3,2371.0,87.7
A21,PK03,สนามบินน้ำ,PK03 สนามบินน้ำ,639.0,5,100.0,232.0169145,3,52.0,276.6115289,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,2.5,22.75,0,0.0,0.0,0,0.0,0.0,5,4.0,92.50486181,0,0.0,0.0,0,0.0,0.0,55,6.93,4.2,27.0,3.57,1757.0,929.0,929.0,828.0,7818.8,1340.9,229.0,13.0,464.0,26.4,519.0,29.5,651.0,37.1,963.0,54.8,143.0,8.1,229.0,13.0,950.0,54.1,578.0,32.9
A21,PK04,สามัคคี,PK04 สามัคคี,467.0,5,128.0,280.0115412,4,77.0,216.5268144,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,3.0,25.5,0,0.0,0.0,0,0.0,0.0,3,8.0,54.54575812,0,0.0,0.0,0,0.0,0.0,59,6.15,1.5,21.0,2.57,2229.0,1133.0,1133.0,1096.0,7502.1,1365.1,0.0,0.0,722.0,32.4,759.0,34.1,310.0,13.9,1470.0,65.9,449.0,20.1,0.0,0.0,1171.0,52.5,1058.0,47.5
A21,PK05,กรมชลประทาน,PK05 กรมชลประทาน,1085.0,5,48.0,224.8421043,1,15.0,15.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,16.44793951,17.55852853,0,0.0,0.0,0,0.0,0.0,5,3.0,103.9261373,0,0.0,0.0,0,0.0,0.0,18,9.0,3.6,21.0,3.11,2954.0,1481.0,1481.0,1473.0,3054.0,1612.9,0.0,0.0,415.0,14.0,1244.0,42.1,807.0,27.3,1277.0,43.2,870.0,29.5,0.0,0.0,1476.0,50.0,1478.0,50.0
A21,PK06,แยกปากเกร็ด,PK06 แยกปากเกร็ด,734.0,8,149.4429833,363.4281005,3,30.0,220.1872588,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,16.0,24.5,0,0.0,0.0,0,0.0,0.0,7,7.0,154.7421087,0,0.0,0.0,0,0.0,0.0,65,7.8,3.2,28.0,2.14,6637.0,3530.0,3298.0,3339.0,8354.3,4316.9,781.0,11.8,2238.0,33.7,3565.0,53.7,4483.0,67.5,1806.0,27.2,348.0,5.2,2000.0,30.1,2350.0,35.4,2287.0,34.5
A21,PK07,เลี่ยงเมืองปากเกร็ด,PK07 เลี่ยงเมืองปากเกร็ด,1903.0,5,11.0,242.5022651,3,40.0,148.5219161,0,0.0,0.0,0,0.0,0.0,1,3.0,3.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,12.0,14.03729361,0,0.0,0.0,0,0.0,0.0,7,1.2,95.7851987,0,0.0,0.0,0,0.0,0.0,39,7.99,3.0,28.0,2.75,3725.0,1932.0,1770.0,1955.0,5797.6,2203.2,345.0,9.3,2552.0,68.5,828.0,22.2,1467.0,39.4,2258.0,60.6,0.0,0.0,162.0,4.3,1772.0,47.6,1791.0,48.1
A21,PK08,แจ้งวัฒนะ-ปากเกร็ด 28,PK08 แจ้งวัฒนะ-ปากเกร็ด 28,4181.0,5,48.0,210.6757896,4,36.26510565,231.6032677,0,0.0,0.0,0,0.0,0.0,1,92.0,92.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,15.0,24.5,0,0.0,0.0,0,0.0,0.0,3,3.0,17.22530965,0,0.0,0.0,0,0.0,0.0,37,6.96,3.1,28.0,2.85,1932.0,978.0,978.0,954.0,6599.2,1141.4,606.0,31.4,1075.0,55.6,251.0,13.0,1429.0,74.0,503.0,26.0,0.0,0.0,0.0,0.0,1413.0,73.1,519.0,26.9
A21,PK09,ศรีรัช,PK09 ศรีรัช,1083.0,5,75.0,174.4830646,3,24.0,225.2091732,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,24.0,24.0,0,0.0,0.0,0,0.0,0.0,3,27.0,173.2494726,0,0.0,0.0,0,0.0,0.0,57,7.56,2.8,28.0,3.57,3835.0,2176.0,1909.0,1926.0,8156.6,2407.9,299.0,7.8,1796.0,46.8,1740.0,45.4,2004.0,52.3,936.0,24.4,895.0,23.3,28.0,0.7,2617.0,68.2,1190.0,31.0
A21,PK11,แจ้งวัฒนะ 14,PK11 แจ้งวัฒนะ 14,2534.0,4,18.0,217.7389571,7,27.00547476,188.5075128,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,3,5.0,39.92003865,0,0.0,0.0,0,0.0,0.0,3,8.0,15.66666667,0,0.0,0.0,0,0.0,0.0,53,7.17,2.5,28.0,2.36,2396.0,1422.0,1176.0,1220.0,7691.2,2043.5,228.0,9.5,332.0,13.9,1377.0,57.5,1151.0,48.0,1090.0,45.5,155.0,6.5,383.0,16.0,1603.0,66.9,410.0,17.1
A21,PK12,ศูนย์ราชการเฉลิมพระเกียรติ,PK12 ศูนย์ราชการเฉลิมพระเกียรติ,3624.0,8,2.4,213.8266189,2,40.0,145.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,0.5,7.75,0,0.0,0.0,0,0.0,0.0,3,1.0,13.66666667,0,0.0,0.0,0,0.0,0.0,11,15.24,5.1,31.5,2.75,3486.0,2178.0,1798.0,1688.0,2600.4,2335.6,0.0,0.0,0.0,0.0,2524.0,72.4,1249.0,35.8,1517.0,43.5,720.0,20.7,0.0,0.0,1824.0,52.3,1662.0,47.7
A21,PK13,โทรคมนาคมแห่งชาติ,PK13 โทรคมนาคมแห่งชาติ,1759.0,4,32.0,101.5,4,96.0,269.0076359,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,1.5,14.43263657,0,0.0,0.0,0,0.0,0.0,5,8.0,113.2993762,0,0.0,0.0,0,0.0,0.0,20,12.51,4.9,32.5,2.75,3702.0,2041.0,1614.0,2088.0,3569.2,2504.0,507.0,13.7,802.0,21.7,1645.0,44.4,1894.0,51.2,1201.0,32.4,607.0,16.4,453.0,12.2,1993.0,53.8,1256.0,33.9
A21,PK15,ราชภัฎพระนคร,PK15 ราชภัฎพระนคร,1688.0,5,63.0,299.4361825,4,10.0,285.9963977,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,20.0,22.5,0,0.0,0.0,0,0.0,0.0,2,1.0,4.5,0,0.0,0.0,0,0.0,0.0,57,7.01,1.8,28.0,2.92,2048.0,991.0,964.0,1084.0,6191.0,1193.4,0.0,0.0,678.0,33.1,1370.0,66.9,1327.0,64.8,603.0,29.4,118.0,5.8,0.0,0.0,1645.0,80.3,403.0,19.7
A21,PK17,รามอินทรา 3,PK17 รามอินทรา 3,1534.0,7,90.0,253.7750836,2,156.0,163.0,0,0.0,0.0,0,0.0,0.0,1,85.0,85.0,0,0.0,0.0,0,0,0,0,0.0,0.0,3,5.0,10.87121398,0,0.0,0.0,0,0.0,0.0,7,2.5,76.59268746,0,0.0,0.0,0,0.0,0.0,31,10.61,4.4,28.0,2.44,2532.0,1266.0,1099.0,1433.0,4261.6,1514.5,322.0,12.7,706.0,27.9,1504.0,59.4,1221.0,48.2,969.0,38.3,342.0,13.5,322.0,12.7,866.0,34.2,1344.0,53.1
A21,PK18,ลาดปลาเค้า,PK18 ลาดปลาเค้า,1435.0,4,15.0,90.0,5,45.0,192.033193,2,250.0,276.3088627,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,5.0,27.5,0,0.0,0.0,0,0.0,0.0,6,5.0,73.99287141,0,0.0,0.0,0,0.0,0.0,50,8.1,4.0,24.0,2.17,3298.0,1529.0,1529.0,1769.0,7391.4,1695.0,500.0,15.2,974.0,29.5,1824.0,55.3,1480.0,44.9,1818.0,55.1,0.0,0.0,844.0,25.6,920.0,27.9,1534.0,46.5
A21,PK19,รามอินทรา กม.4,PK19 รามอินทรา กม.4,1212.0,4,6.0,194.25,4,65.0,276.6652937,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,5.0,31.0,0,0.0,0.0,0,0.0,0.0,9,3.0,121.0474735,0,0.0,0.0,0,0.0,0.0,85,5.94,3.1,28.0,3.3,1483.0,774.0,774.0,709.0,10199.1,976.0,0.0,0.0,931.0,62.8,552.0,37.2,931.0,62.8,552.0,37.2,0.0,0.0,0.0,0.0,1483.0,100.0,0.0,0.0
A21,PK20,มัยลาภ,PK20 มัยลาภ,964.0,5,45.0,206.2200837,2,63.0,186.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,3,3.5,140.3918188,0,0.0,0.0,0,0.0,0.0,9,8.0,140.7069279,0,0.0,0.0,0,0.0,0.0,57,6.95,4.0,28.0,3.03,1550.0,811.0,811.0,739.0,9349.4,1077.9,8.0,0.5,407.0,26.3,1135.0,73.2,1220.0,78.7,330.0,21.3,0.0,0.0,0.0,0.0,777.0,50.1,773.0,49.9
A21,PK21,วัชรพล,PK21 วัชรพล,959.0,3,57.0,182.6545801,1,19.55933898,19.55933898,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,22.69234272,23.67223891,0,0.0,0.0,0,0.0,0.0,6,2.0,67.57905387,0,0.0,0.0,0,0.0,0.0,44,8.46,2.8,31.5,4.29,4294.0,2120.0,2120.0,2174.0,8089.8,2374.1,0.0,0.0,1427.0,33.2,2665.0,62.1,2280.0,53.1,1719.0,40.0,295.0,6.9,0.0,0.0,1778.0,41.4,2516.0,58.6
A21,PK22,รามอินทรา กม.6,PK22 รามอินทรา กม.6,1418.0,9,26.68173449,260.1205363,5,20.0,225.469776,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,1,8.0,8.0,4,16.0,85.86350212,0,0.0,0.0,0,0.0,0.0,11,1.0,187.5523788,0,0.0,0.0,0,0.0,0.0,73,7.27,4.0,28.0,2.69,2409.0,1384.0,1147.0,1262.0,10817.2,1736.6,112.0,4.6,1085.0,45.0,1212.0,50.3,1381.0,57.3,1028.0,42.7,0.0,0.0,112.0,4.6,2297.0,95.4,0.0,0.0
A21,PK23,คู้บอน,PK23 คู้บอน,1453.0,7,50.0,224.599464,6,80.0,287.4088903,1,393.2480974,393.2480974,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,3,40.0,207.2868832,3,6.5,51.24728494,0,0.0,0.0,0,0.0,0.0,10,3.0,210.8774209,0,0.0,0.0,0,0.0,0.0,48,7.06,4.0,30.0,2.73,2429.0,1284.0,1284.0,1145.0,6762.8,1607.4,0.0,0.0,1042.0,42.9,1387.0,57.1,1422.0,58.5,1007.0,41.5,0.0,0.0,0.0,0.0,1954.0,80.4,475.0,19.6
