source,line_code,station_name,station,entry,bus_stop_count,win_count,songtaew_count,minibus_count,taxi_count,tuktuk_count,samlor_count,van_count,kiss_ride_count,park_ride_car_count,park_ride_moto_count,bike_parking_count,bike_share_count,scooter_share_count,bike_parking_min_dist,bike_parking_mean_dist,bike_share_min_dist,bike_share_mean_dist,bus_stop_min_dist,bus_stop_mean_dist,kiss_ride_min_dist,kiss_ride_mean_dist,minibus_min_dist,minibus_mean_dist,park_ride_car_min_dist,park_ride_car_mean_dist,park_ride_moto_min_dist,park_ride_moto_mean_dist,samlor_min_dist,samlor_mean_dist,scooter_share_min_dist,scooter_share_mean_dist,songtaew_min_dist,songtaew_mean_dist,taxi_min_dist,taxi_mean_dist,tuktuk_min_dist,tuktuk_mean_dist,van_min_dist,van_mean_dist,win_min_dist,win_mean_dist,n_segments,road_width_mean,road_width_min,road_width_max,sw_width_mean,sw_total_length,sidewalk_length,sidewalk_length_1,sidewalk_length_2,road_length_gt4m,road_length_gt4m_atleast1sw,sidewalk_length_surface_neg1,surface_pct_neg1,sidewalk_length_surface_0,surface_pct_0,sidewalk_length_surface_1,surface_pct_1,sidewalk_length_shade_neg1,shade_pct_neg1,sidewalk_length_shade_0,shade_pct_0,sidewalk_length_shade_1,shade_pct_1,sidewalk_length_obstacle_neg1,obs_pct_neg1,sidewalk_length_obstacle_0,obs_pct_0,sidewalk_length_obstacle_1,obs_pct_1
CUTI,YL21,ศรีเทพา,MRT ศรีเทพา,1238.0,4,13,0,0,0,0,0,0,2,0,0,4,0,0,5.0,7.5,0.0,0.0,130.0,135.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,19.333333333333332,41,5.85,3.5,12.0,2.1,2679.0,2679.0,2679.0,0.0,7683.6,2685.1,0.0,0.0,2613.0,97.5,66.0,2.5,1079.0,40.3,1600.0,59.7,0.0,0.0,0.0,0.0,2613.0,97.5,66.0,2.5
CUTI,YL17,ศรีเอี่ยม,MRT ศรีเอี่ยม,1162.0,6,5,1,0,0,0,0,0,2,1,0,2,0,0,3.0,176.5,0.0,0.0,170.0,293.3333333333333,10.0,60.0,0.0,0.0,140.0,140.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,183.0,29,7.86,4.0,25.5,2.2,3010.0,3010.0,3010.0,0.0,7821.0,3602.1,0.0,0.0,1400.0,46.5,1270.0,42.2,1540.0,51.2,1130.0,37.5,0.0,0.0,0.0,0.0,1270.0,42.2,1400.0,46.5
CUTI,YL19,ศรีแบริ่ง,MRT ศรีแบริ่ง,883.0,4,4,0,0,0,0,0,0,0,0,0,2,0,0,3.0,4.0,0.0,0.0,130.0,173.33333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.5,37,4.78,3.0,10.5,1.57,3380.0,3380.0,3380.0,0.0,4902.7,3405.4,2000.0,59.2,1380.0,40.8,0.0,0.0,2000.0,59.2,1380.0,40.8,0.0,0.0,690.0,20.4,2690.0,79.6,0.0,0.0
CUTI,BL23,ศูนย์ประชุมสิริกิติ์,MRT ศูนย์ประชุมสิริกิติ์,15479.0,9,15,0,0,0,3,0,0,3,3,1,3,2,0,179.96229725000808,179.96229725000808,190.02034262089936,190.02034262089936,13.392944797151728,25.11361107461177,72.27020875738016,73.82791481076032,0.0,0.0,67.79643301854486,93.76824596789824,67.79643301854486,67.79643301854486,0.0,0.0,0,0,0.0,0.0,0.0,0.0,203.97696585098245,203.97696585098245,0.0,0.0,10.852562127582654,13.04174439421431,43,7.4,4.0,13.0,2.35,7788.0,5852.0,5852.0,1936.0,6002.0,5384.7,0.0,0.0,2699.0,34.7,5089.0,65.3,1084.0,13.9,5554.0,71.3,1150.0,14.8,158.0,2.0,2822.0,36.2,4808.0,61.7
CUTI,BL19,ศูนย์วัฒนธรรม,MRT ศูนย์วัฒนธรรม,17216.0,5,5,0,0,0,0,0,0,3,2,1,1,0,0,90.23603817,90.23603817,0.0,0.0,9.52622617,40.18589134,18.83239716,65.43870790333334,0.0,0.0,40.61977325,58.34595989,76.07214653,76.07214653,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.03579454,49.615027297500006,15,6.7,4.0,10.0,2.59,3798.0,3075.0,3075.0,723.0,3535.9,3187.9,0.0,0.0,0.0,0.0,3798.0,100.0,0.0,0.0,985.0,25.9,2813.0,74.1,0.0,0.0,0.0,0.0,3798.0,100.0
CUTI,YL15,สวนหลวง ร.9,MRT สวนหลวง ร.9,2990.0,8,11,0,0,7,0,0,0,0,0,0,8,0,0,140.0,195.0,0.0,0.0,69.0,120.66666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,120.0,210.0,0.0,0.0,0.0,0.0,67.0,139.0,39,5.04,3.0,12.0,1.92,4786.0,3473.0,3473.0,1313.0,6669.9,3338.5,393.0,8.2,1680.0,35.1,2713.0,56.7,2866.0,59.9,1920.0,40.1,0.0,0.0,813.0,17.0,1173.0,24.5,2800.0,58.5
CUTI,BL30,สามยอด,MRT สามยอด,8371.0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,29,8.57,4.0,15.0,2.1,14832.5,7416.2,7416.2,7416.2,7439.2,7303.2,0.0,0.0,2505.1,16.9,12327.4,83.1,0.0,0.0,10317.4,69.6,4515.1,30.4,682.1,4.6,3342.1,22.5,10808.3,72.9
CUTI,BL27,สามย่าน,MRT สามย่าน,20030.0,15,13,0,0,1,3,0,0,1,1,0,3,5,0,30.0,95.0,32.0,32.0,70.0,89.0,60.0,60.0,0.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,40.0,107.5,0.0,0.0,20.0,25.0,96,9.08,2.5,18.0,2.71,12010.0,8057.0,7827.0,4183.0,10007.3,8539.9,26.0,0.2,793.0,6.6,11191.0,93.2,2937.0,24.5,2958.0,24.6,6115.0,50.9,143.0,1.2,3966.0,33.0,7901.0,65.8
CUTI,BL06,สิรินธร,MRT สิรินธร,4476.0,7,8,0,0,0,0,0,0,0,0,0,1,0,0,13.45772728,13.45772728,0.0,0.0,101.0995402,156.83001835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.97618986,108.42535418,40,6.41,4.0,11.5,2.54,3811.0,3761.0,3761.0,50.0,2958.9,2808.7,0.0,0.0,0.0,0.0,3811.0,100.0,2670.0,70.1,871.0,22.9,270.0,7.1,0.0,0.0,98.0,2.6,3713.0,97.4
CUTI,BL17,สุทธิสาร,MRT สุทธิสาร,13220.0,4,9,0,0,0,0,0,0,2,0,0,3,0,0,9.792151459,27.4756635045,0.0,0.0,48.162708,135.59925429999998,296.3358147,321.2751604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.56118476,99.73661364333331,23,6.85,4.0,12.5,2.34,6828.0,3379.0,3379.0,3449.0,3838.3,3519.1,0.0,0.0,2764.0,40.5,4064.0,59.5,1418.0,20.8,4701.0,68.8,709.0,10.4,0.0,0.0,2987.0,43.7,3841.0,56.3
