radius_m,source,line_code,line_id,เจ้าของโครงการ (รัฐ),ผู้เดินรถ / สัมปทาน (เอกชน),station_name,station,entry,station_typology,bike_parking_count,bike_share_count,bus_stop_count,kiss_ride_count,minibus_count,park_ride_car_count,park_ride_moto_count,samlor_count,scooter_share_count,songtaew_count,taxi_count,tuktuk_count,van_count,win_count,bike_parking_min_dist,bike_share_min_dist,bus_stop_min_dist,kiss_ride_min_dist,minibus_min_dist,park_ride_car_min_dist,park_ride_moto_min_dist,samlor_min_dist,scooter_share_min_dist,songtaew_min_dist,taxi_min_dist,tuktuk_min_dist,van_min_dist,win_min_dist,bike_parking_mean_dist,bike_share_mean_dist,bus_stop_mean_dist,kiss_ride_mean_dist,minibus_mean_dist,park_ride_car_mean_dist,park_ride_moto_mean_dist,samlor_mean_dist,scooter_share_mean_dist,songtaew_mean_dist,taxi_mean_dist,tuktuk_mean_dist,van_mean_dist,win_mean_dist,n_segments,sw_total_length,sidewalk_length,sidewalk_length_1,sidewalk_length_2,road_length_gt4m,road_length_gt4m_atleast1sw,sidewalk_length_surface_neg1,sidewalk_length_surface_0,sidewalk_length_surface_1,sidewalk_length_shade_neg1,sidewalk_length_shade_0,sidewalk_length_shade_1,sidewalk_length_obstacle_neg1,sidewalk_length_obstacle_0,sidewalk_length_obstacle_1,road_width_mean,road_width_min,road_width_max,sw_width_mean,surface_pct_neg1,surface_pct_0,surface_pct_1,shade_pct_neg1,shade_pct_0,shade_pct_1,obs_pct_neg1,obs_pct_0,obs_pct_1,POP25,PRIM25,SEC25,TER25,STU25,TOUR25,COMAR25,TPL25,POP27,PRIM27,SEC27,TER27,STU27,TOUR27,COMAR27,TPL27,POP32,PRIM32,SEC32,TER32,STU32,TOUR32,COMAR32,TPL32,POP37,PRIM37,SEC37,TER37,STU37,TOUR37,COMAR37,TPL37,POP42,PRIM42,SEC42,TER42,STU42,TOUR42,COMAR42,TPL42,POP47,PRIM47,SEC47,TER47,STU47,TOUR47,COMAR47,TPL47,n_zones_in_buffer
100,A21,N21,BTS,กทม. (ผ่าน กรุงเทพธนาคม),BTSC (BTS Group),โรงพยาบาลภูมิพลอดุลยเดช,N21 โรงพยาบาลภูมิพลอดุลยเดช,2631.0,Local Station,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,82.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.666666666666666,14.0,83.5,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,304.0,171.0,171.0,133.0,171.79009136823876,171.79009136823876,0.0,0.0,304.0,0.0,0.0,304.0,0.0,0.0,304.0,21.0,21.0,21.0,6.25,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,6298.0,0.0,5.5,6015.5,1893.5,0.0,0.0,0.0,6472.5,0.0,5.5,6092.0,1883.5,0.0,0.0,0.0,6750.0,0.0,5.5,6381.5,1845.5,0.0,0.0,0.0,6972.5,0.0,5.5,6489.0,1756.5,0.0,0.0,0.0,7093.0,0.0,5.5,6530.0,1672.0,0.0,0.0,0.0,7205.5,0.0,5.5,6556.0,1591.5,0.0,0.0,0.0,2
100,A21,N22,BTS,กทม. (ผ่าน กรุงเทพธนาคม),BTSC (BTS Group),พิพิธภัณฑ์กองทัพอากาศ,N22 พิพิธภัณฑ์กองทัพอากาศ,2976.0,Local Station,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,300.0,150.0,150.0,150.0,152.4955524336827,152.4955524336827,0.0,0.0,300.0,0.0,150.0,150.0,0.0,0.0,300.0,21.0,21.0,21.0,7.4,0.0,0.0,100.0,0.0,50.0,50.0,0.0,0.0,100.0,7399.666666666667,0.0,2.0,4713.333333333333,1386.0,0.0,0.0,0.3333333333333333,7625.666666666667,0.0,2.0,4774.333333333333,1378.6666666666667,0.0,0.0,0.3333333333333333,7944.666666666667,0.0,2.0,5003.0,1350.6666666666667,0.0,0.0,0.3333333333333333,8173.666666666667,0.0,2.0,5089.666666666667,1285.6666666666667,0.0,0.0,0.3333333333333333,8264.666666666666,0.0,2.0,5123.333333333333,1223.6666666666667,0.0,0.0,0.3333333333333333,8341.0,0.0,1.6666666666666667,5144.666666666667,1164.6666666666667,0.0,0.0,0.3333333333333333,3
100,A21,N23,BTS,กทม. (ผ่าน กรุงเทพธนาคม),BTSC (BTS Group),แยก คปอ.,N23 แยก คปอ.,11503.0,Local Station,7.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,12.0,0.0,18.0,15.0,0.0,0.0,52.0,0.0,0.0,0.0,33.0,0.0,0.0,30.0,18.75,0.0,18.0,15.0,0.0,0.0,52.0,0.0,0.0,0.0,33.0,0.0,0.0,30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,7251.0,0.0,3209.0,2063.0,0.0,0.0,0.0,0.0,7361.0,0.0,3221.5,2069.0,0.0,0.0,0.0,0.0,7526.5,0.0,3291.0,2135.0,0.0,0.0,0.0,0.0,7583.0,0.0,3253.0,2130.5,0.0,0.0,0.0,0.0,7501.0,0.0,3177.5,2099.0,0.0,0.0,0.0,0.0,7412.5,0.0,3134.5,2064.0,0.0,0.0,0.0,0.0,2
100,A21,N24,BTS,กทม. (ผ่าน กรุงเทพธนาคม),BTSC (BTS Group),คูคต,N24 คูคต,16201.0,Local Station,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,8.0,0.0,30.0,42.0,0.0,30.0,60.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,24.5,0.0,30.0,42.0,0.0,30.0,60.0,0.0,0.0,0.0,13.0,0.0,0.0,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,17447.0,6.0,778.0,9293.0,4621.0,63.0,0.0,0.0,16701.0,6.0,792.0,9311.0,4583.0,66.0,0.0,0.0,16935.0,6.0,833.0,9739.0,4459.0,75.0,0.0,0.0,18082.0,6.0,867.0,10142.0,4346.0,85.0,0.0,0.0,19485.0,6.0,896.0,10527.0,4236.0,92.0,0.0,0.0,21178.0,6.0,933.0,11004.0,4129.0,97.0,0.0,0.0,1
100,A21,PK02,PK,รฟม.,BTS Group (NBM),แคราย,PK02 แคราย,571.0,Local Station,4.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,37.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,11.333333333333334,0.0,66.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.5,2,300.0,141.0,141.0,159.0,242.33739748386063,175.32155500627124,0.0,0.0,300.0,0.0,300.0,0.0,0.0,0.0,300.0,14.0,7.0,21.0,4.65,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,6642.0,0.0,324.0,6861.0,1422.5,101.0,50000.0,0.0,6537.5,0.0,330.0,6951.5,1412.5,109.0,50000.0,0.0,6712.5,0.0,345.0,7264.5,1376.0,131.5,50000.0,0.0,6882.0,0.0,361.0,7610.5,1352.0,158.5,50000.0,0.0,6997.5,0.0,375.0,7911.5,1329.0,178.5,50000.0,0.0,7116.5,0.0,389.5,8234.5,1306.0,192.5,50000.0,0.0,2
100,A21,PK03,PK,รฟม.,BTS Group (NBM),สนามบินน้ำ,PK03 สนามบินน้ำ,639.0,Local Station,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,100.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,7.666666666666667,0.0,100.0,22.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,3,474.0,245.0,245.0,229.0,652.3262859075344,445.681279156897,229.0,245.0,0.0,0.0,474.0,0.0,229.0,245.0,0.0,10.17,4.4,21.0,3.8,48.3,51.7,0.0,0.0,100.0,0.0,48.3,51.7,0.0,10389.0,0.0,861.0,10453.666666666666,581.6666666666666,0.0,0.0,0.3333333333333333,9737.333333333334,0.0,875.6666666666666,10624.333333333334,577.3333333333334,0.0,0.0,0.3333333333333333,9562.333333333334,0.0,916.6666666666666,11122.333333333334,562.6666666666666,0.0,0.0,0.3333333333333333,9685.333333333334,0.0,959.6666666666666,11659.666666666666,553.0,0.0,0.0,0.3333333333333333,9838.333333333334,0.0,996.3333333333334,12119.333333333334,543.6666666666666,0.0,0.0,0.3333333333333333,10069.666666666666,0.0,1035.3333333333333,12612.333333333334,534.0,0.0,0.0,0.3333333333333333,3
100,A21,PK04,PK,รฟม.,BTS Group (NBM),สามัคคี,PK04 สามัคคี,467.0,Local Station,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,10.5,0.0,0.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,2,548.0,288.0,288.0,260.0,346.09158384897876,346.09158384897876,0.0,448.0,100.0,100.0,448.0,0.0,0.0,448.0,100.0,21.0,21.0,21.0,2.15,0.0,81.8,18.2,18.2,81.8,0.0,0.0,81.8,18.2,8127.25,0.0,374.25,12130.0,3194.25,24.25,0.0,0.25,7480.25,0.0,380.75,12346.75,3172.0,26.25,0.0,0.25,7219.75,0.0,398.5,12938.0,3090.25,31.75,0.0,0.25,7450.75,0.0,417.25,13567.25,3037.25,38.0,0.0,0.25,7786.25,0.0,433.25,14101.75,2984.25,43.0,0.0,0.25,8242.0,0.0,450.25,14674.25,2932.75,46.5,0.0,0.25,4
100,A21,PK05,PK,รฟม.,BTS Group (NBM),กรมชลประทาน,PK05 กรมชลประทาน,1085.0,Local Station,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,48.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.5,0.0,50.5,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1,643.0,328.0,328.0,315.0,341.1142791535726,341.1142791535726,0.0,0.0,0.0,0.0,643.0,0.0,0.0,328.0,315.0,21.0,21.0,21.0,4.2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,51.0,49.0,4956.5,0.0,0.0,13159.5,6181.5,0.0,0.0,0.5,4602.5,0.0,0.0,13408.5,6138.5,0.0,0.0,0.5,4479.5,0.0,0.0,14059.5,5980.5,0.0,0.0,0.5,4888.5,0.0,0.0,14746.5,5877.5,0.0,0.0,0.5,5421.5,0.0,0.0,15327.0,5775.0,0.0,0.0,0.5,6077.5,0.0,0.0,15948.5,5675.5,0.0,0.0,0.5,2
100,A21,PK06,PK,รฟม.,BTS Group (NBM),แยกปากเกร็ด,PK06 แยกปากเกร็ด,734.0,Local Station,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,7.5,0.0,0.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6,1226.0,611.0,611.0,615.0,900.3248558787373,643.9661865313278,0.0,700.0,473.0,878.0,0.0,348.0,0.0,700.0,526.0,10.15,6.3,13.0,1.88,0.0,57.1,38.6,71.6,0.0,28.4,0.0,57.1,42.9,5387.0,0.0,1516.0,5150.0,0.0,108.0,0.0,0.0,4898.0,0.0,1542.0,5216.0,0.0,116.0,0.0,0.0,4670.0,0.0,1614.0,5449.0,0.0,141.0,0.0,0.0,4014.0,0.0,1690.0,5708.0,0.0,169.0,0.0,0.0,3342.0,0.0,1754.0,5934.0,0.0,191.0,0.0,0.0,2746.0,0.0,1823.0,6176.0,0.0,206.0,0.0,0.0,1
100,A21,PK07,PK,รฟม.,BTS Group (NBM),เลี่ยงเมืองปากเกร็ด,PK07 เลี่ยงเมืองปากเกร็ด,1903.0,Local Station,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.2,0.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,40.0,11.4,0.0,26.5,26.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,43.5,1,0.0,0.0,0.0,0.0,35.81307179250098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,4.7,4.7,,,,,,,,,,,5142.5,0.0,4086.5,6803.0,0.0,0.0,13340.0,0.0,4729.5,0.0,4157.5,6906.0,0.0,0.0,13340.0,0.0,4560.5,0.0,4351.5,7225.5,0.0,0.0,13340.0,0.0,4696.0,0.0,4556.0,7573.0,0.0,0.0,13340.0,0.0,4813.0,0.0,4729.5,7872.0,0.0,0.0,13340.0,0.0,4904.5,0.0,4915.5,8192.5,0.0,0.0,13340.0,0.0,2
