source,line_code,station_name,station,bike_parking_count,bike_parking_min_dist,bike_parking_mean_dist,park_ride_moto_count,park_ride_moto_min_dist,park_ride_moto_mean_dist,taxi_count,taxi_min_dist,taxi_mean_dist,bus_stop_count,bus_stop_min_dist,bus_stop_mean_dist,bike_share_count,bike_share_min_dist,bike_share_mean_dist,songtaew_count,songtaew_min_dist,songtaew_mean_dist,win_count,win_min_dist,win_mean_dist,park_ride_car_count,park_ride_car_min_dist,park_ride_car_mean_dist,scooter_share_count,scooter_share_min_dist,scooter_share_mean_dist,tuktuk_count,tuktuk_min_dist,tuktuk_mean_dist,kiss_ride_count,kiss_ride_min_dist,kiss_ride_mean_dist,minibus_count,minibus_min_dist,minibus_mean_dist,entry
A21,N10,พหลโยธิน 24,N10 พหลโยธิน 24,3,14.0,26.333333333333332,0,0.0,0.0,0,0.0,0.0,4,50.0,148.25,0,0.0,0.0,0,0.0,0.0,3,30.0,76.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,7.0,27.0,0,0.0,0.0,5987.0
A21,N11,รัชโยธิน,N11 รัชโยธิน,4,4.0,16.0,0,0.0,0.0,0,0.0,0.0,3,8.0,39.0,0,0.0,0.0,0,0.0,0.0,4,25.0,82.5,0,0.0,0.0,0,0,0,0,0.0,0.0,2,12.0,12.0,0,0.0,0.0,12159.0
A21,N12,เสนานิคม,N12 เสนานิคม,3,5.0,16.0,0,0.0,0.0,0,0.0,0.0,4,87.0,136.25,0,0.0,0.0,0,0.0,0.0,3,35.0,150.66666666666666,0,0.0,0.0,0,0,0,0,0.0,0.0,1,83.0,83.0,1,180.0,180.0,11789.0
A21,N13,มหาวิทยาลัยเกษตรศาสตร์,N13 มหาวิทยาลัยเกษตรศาสตร์,4,10.0,19.0,0,0.0,0.0,0,0.0,0.0,4,15.0,60.75,0,0.0,0.0,0,0.0,0.0,3,12.0,117.33333333333331,0,0.0,0.0,0,0,0,0,0.0,0.0,1,15.0,15.0,0,0.0,0.0,14375.0
A21,N14,กรมป่าไม้,N14 กรมป่าไม้,4,8.0,24.25,0,0.0,0.0,0,0.0,0.0,4,75.0,175.75,0,0.0,0.0,0,0.0,0.0,3,55.0,180.66666666666663,0,0.0,0.0,0,0,0,0,0.0,0.0,2,12.0,20.0,0,0.0,0.0,5434.0
A21,N15,บางบัว,N15 บางบัว,4,4.0,28.0,0,0.0,0.0,0,0.0,0.0,3,37.0,79.0,0,0.0,0.0,0,0.0,0.0,2,40.0,97.5,0,0.0,0.0,0,0,0,0,0.0,0.0,2,14.0,42.0,0,0.0,0.0,8717.0
A21,N16,กรมทหารราบที่ 11,N16 กรมทหารราบที่ 11,4,8.0,74.5,0,0.0,0.0,0,0.0,0.0,4,55.0,134.75,0,0.0,0.0,0,0.0,0.0,2,30.0,142.5,0,0.0,0.0,0,0,0,0,0.0,0.0,2,38.0,64.0,0,0.0,0.0,5297.0
A21,N18,พหลโยธิน 59,N18 พหลโยธิน 59,4,8.0,17.0,0,0.0,0.0,0,0.0,0.0,4,30.0,158.75,0,0.0,0.0,0,0.0,0.0,3,35.0,209.33333333333337,0,0.0,0.0,0,0,0,0,0.0,0.0,2,20.0,151.5,0,0.0,0.0,3991.0
A21,N19,สายหยุด,N19 สายหยุด,4,8.0,11.25,0,0.0,0.0,0,0.0,0.0,4,45.0,86.5,0,0.0,0.0,0,0.0,0.0,3,25.0,79.66666666666667,0,0.0,0.0,0,0,0,0,0.0,0.0,2,75.0,82.5,0,0.0,0.0,8104.0
A21,N20,สะพานใหม่,N20 สะพานใหม่,4,8.0,11.5,0,0.0,0.0,0,0.0,0.0,3,42.0,177.66666666666666,0,0.0,0.0,0,0.0,0.0,3,30.0,101.66666666666669,0,0.0,0.0,0,0,0,0,0.0,0.0,2,22.0,47.5,0,0.0,0.0,10180.0
A21,N21,โรงพยาบาลภูมิพลอดุลยเดช,N21 โรงพยาบาลภูมิพลอดุลยเดช,3,12.0,12.666666666666666,0,0.0,0.0,0,0.0,0.0,4,82.0,133.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,36.0,42.0,0,0.0,0.0,2631.0
A21,N22,พิพิธภัณฑ์กองทัพอากาศ,N22 พิพิธภัณฑ์กองทัพอากาศ,4,18.0,21.25,0,0.0,0.0,0,0.0,0.0,4,126.0,161.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,14.0,15.0,0,0.0,0.0,2976.0
A21,N23,แยก คปอ.,N23 แยก คปอ.,4,12.0,18.75,2,52.0,93.5,0,0.0,0.0,4,18.0,167.0,0,0.0,0.0,0,0.0,0.0,3,30.0,116.66666666666669,1,120.0,120.0,0,0,0,0,0.0,0.0,1,15.0,15.0,0,0.0,0.0,11503.0
A21,N24,คูคต,N24 คูคต,4,8.0,24.5,2,60.0,81.0,0,0.0,0.0,4,30.0,284.0,0,0.0,0.0,0,0.0,0.0,2,8.0,21.0,1,30.0,30.0,0,0,0,0,0.0,0.0,1,42.0,42.0,0,0.0,0.0,16201.0
A21,PK02,แคราย,PK02 แคราย,3,2.0,11.333333333333334,0,0.0,0.0,0,0.0,0.0,2,37.0,66.5,0,0.0,0.0,0,0.0,0.0,2,46.0,65.5,0,0.0,0.0,0,0,0,0,0.0,0.0,3,9.0,14.0,0,0.0,0.0,571.0
A21,PK03,สนามบินน้ำ,PK03 สนามบินน้ำ,3,4.0,7.666666666666667,0,0.0,0.0,0,0.0,0.0,4,100.0,179.5,0,0.0,0.0,0,0.0,0.0,2,52.0,52.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,2.5,22.75,0,0.0,0.0,639.0
A21,PK04,สามัคคี,PK04 สามัคคี,2,8.0,10.5,0,0.0,0.0,0,0.0,0.0,4,128.0,234.0,0,0.0,0.0,0,0.0,0.0,2,77.0,158.5,0,0.0,0.0,0,0,0,0,0.0,0.0,2,3.0,25.5,0,0.0,0.0,467.0
A21,PK05,กรมชลประทาน,PK05 กรมชลประทาน,4,3.0,6.5,0,0.0,0.0,0,0.0,0.0,2,48.0,50.5,0,0.0,0.0,0,0.0,0.0,1,15.0,15.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,38.0,40.5,0,0.0,0.0,1085.0
A21,PK06,แยกปากเกร็ด,PK06 แยกปากเกร็ด,4,7.0,7.5,0,0.0,0.0,0,0.0,0.0,2,250.0,290.0,0,0.0,0.0,0,0.0,0.0,1,30.0,30.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,16.0,24.5,0,0.0,0.0,734.0
A21,PK07,เลี่ยงเมืองปากเกร็ด,PK07 เลี่ยงเมืองปากเกร็ด,3,1.2,11.4,0,0.0,0.0,0,0.0,0.0,2,11.0,26.5,0,0.0,0.0,0,0.0,0.0,2,40.0,43.5,0,0.0,0.0,0,0,0,0,0.0,0.0,2,12.0,26.0,0,0.0,0.0,1903.0
A21,PK08,แจ้งวัฒนะ-ปากเกร็ด 28,PK08 แจ้งวัฒนะ-ปากเกร็ด 28,3,3.0,19.666666666666668,0,0.0,0.0,0,0.0,0.0,3,48.0,154.66666666666666,0,0.0,0.0,0,0.0,0.0,2,50.0,67.5,0,0.0,0.0,0,0,0,0,0.0,0.0,2,15.0,24.5,0,0.0,0.0,4181.0
A21,PK09,ศรีรัช,PK09 ศรีรัช,2,27.0,38.5,0,0.0,0.0,0,0.0,0.0,2,75.0,82.5,0,0.0,0.0,0,0.0,0.0,1,24.0,24.0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,24.0,24.0,0,0.0,0.0,1083.0
A21,PK11,แจ้งวัฒนะ 14,PK11 แจ้งวัฒนะ 14,3,8.0,15.666666666666666,0,0.0,0.0,0,0.0,0.0,2,18.0,31.5,0,0.0,0.0,0,0.0,0.0,1,40.0,40.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,5.0,6.0,0,0.0,0.0,2534.0
A21,PK12,ศูนย์ราชการเฉลิมพระเกียรติ,PK12 ศูนย์ราชการเฉลิมพระเกียรติ,3,1.0,13.666666666666666,0,0.0,0.0,0,0.0,0.0,4,2.4,87.1,0,0.0,0.0,0,0.0,0.0,2,40.0,145.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,0.5,7.75,0,0.0,0.0,3624.0
A21,PK13,โทรคมนาคมแห่งชาติ,PK13 โทรคมนาคมแห่งชาติ,3,8.0,18.666666666666668,0,0.0,0.0,0,0.0,0.0,4,32.0,101.5,0,0.0,0.0,0,0.0,0.0,2,96.0,155.5,0,0.0,0.0,0,0,0,0,0.0,0.0,2,1.5,28.25,0,0.0,0.0,1759.0
A21,PK15,ราชภัฎพระนคร,PK15 ราชภัฎพระนคร,2,1.0,4.5,0,0.0,0.0,0,0.0,0.0,2,63.0,104.0,0,0.0,0.0,0,0.0,0.0,1,10.0,10.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,20.0,22.5,0,0.0,0.0,1688.0
A21,PK17,รามอินทรา 3,PK17 รามอินทรา 3,4,2.5,12.875,0,0.0,0.0,0,0.0,0.0,4,90.0,152.5,0,0.0,0.0,0,0.0,0.0,2,156.0,163.0,0,0.0,0.0,0,0,0,0,0.0,0.0,3,5.0,15.666666666666666,0,0.0,0.0,1534.0
A21,PK18,ลาดปลาเค้า,PK18 ลาดปลาเค้า,4,5.0,18.75,0,0.0,0.0,0,0.0,0.0,4,15.0,90.0,0,0.0,0.0,1,250.0,250.0,2,45.0,47.5,0,0.0,0.0,0,0,0,0,0.0,0.0,2,5.0,27.5,0,0.0,0.0,1435.0
A21,PK19,รามอินทรา กม.4,PK19 รามอินทรา กม.4,4,3.0,13.5,0,0.0,0.0,0,0.0,0.0,4,6.0,194.25,0,0.0,0.0,0,0.0,0.0,3,65.0,207.33333333333337,0,0.0,0.0,0,0,0,0,0.0,0.0,2,5.0,31.0,0,0.0,0.0,1212.0
A21,PK20,มัยลาภ,PK20 มัยลาภ,4,8.0,21.75,0,0.0,0.0,0,0.0,0.0,4,45.0,177.25,0,0.0,0.0,0,0.0,0.0,2,63.0,186.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,3.5,24.75,0,0.0,0.0,964.0
A21,PK21,วัชรพล,PK21 วัชรพล,4,2.0,14.5,0,0.0,0.0,0,0.0,0.0,2,57.0,60.5,0,0.0,0.0,0,0.0,0.0,1,45.0,45.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,35.0,36.5,0,0.0,0.0,959.0
