station,bus_stop_count,bus_stop_min_dist,bus_stop_mean_dist,win_count,win_min_dist,win_mean_dist,songtaew_count,songtaew_min_dist,songtaew_mean_dist,minibus_count,minibus_min_dist,minibus_mean_dist,taxi_count,taxi_min_dist,taxi_mean_dist,tuktuk_count,tuktuk_min_dist,tuktuk_mean_dist,kiss_ride_count,kiss_ride_min_dist,kiss_ride_mean_dist,park_ride_car_count,park_ride_car_min_dist,park_ride_car_mean_dist,park_ride_moto_count,park_ride_moto_min_dist,park_ride_moto_mean_dist,bike_parking_count,bike_parking_min_dist,bike_parking_mean_dist,bike_share_count,bike_share_min_dist,bike_share_mean_dist,scooter_share_count,scooter_share_min_dist,scooter_share_mean_dist
BTS อุดมสุข,3,5.0,29.333333333333332,2,7.0,27.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,14.0,47.75,0,0.0,0.0,0,0,0
BTS อ่อนนุช,2,5.0,17.5,3,20.0,61.666666666666664,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,65.0,65.0,0,0.0,0.0,0,0,0
BTS เคหะสมุทรปราการ,0,0.0,0.0,3,120.0,306.6666666666667,1,61.0,61.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,5.0,45.333333333333336,0,0.0,0.0,0,0,0
BTS เพลินจิต,3,30.0,66.66666666666667,4,20.0,48.75,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,15.0,15.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,40.0,150.0,0,0,0
BTS เอกมัย,4,115.0,140.0,3,10.0,36.666666666666664,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,103.0,124.0,1,68.0,68.0,0,0.0,0.0,2,7.0,18.5,2,7.0,18.5,0,0,0
BTS แบริ่ง,2,37.0,38.0,3,10.0,53.0,1,240.0,240.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,3.0,31.75,0,0.0,0.0,0,0,0
BTS แพรกษา,2,10.0,27.5,2,19.0,30.0,2,17.0,17.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,10.0,35.0,0,0.0,0.0,0,0,0
BTS โรงเรียนนายเรือ,3,160.0,190.0,1,25.0,25.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,23.0,23.5,0,0.0,0.0,0,0,0
BTS_คลองสาน,2,17.0,37.5,1,32.0,32.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,228.0,228.0,1,33.0,33.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,69.0,69.0,0,0,0
BTS_ช่องนนทรี,2,49.0,52.5,3,22.0,46.333333333333336,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,485.0,485.0,3,6.0,33.333333333333336,0,0.0,0.0,0,0.0,0.0,3,4.0,10.666666666666666,1,53.0,53.0,0,0,0
BTS_ตลาดพลู,2,155.0,211.0,3,30.0,111.66666666666667,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,10.0,10.0,0,0.0,0.0,0,0.0,0.0,2,20.0,60.0,0,0.0,0.0,0,0,0
BTS_ราชดำริ,2,37.0,39.5,2,52.0,94.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,458.0,458.0,1,87.0,87.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,60.0,255.0,0,0,0
BTS_วงเวียนใหญ่,4,40.0,101.5,4,30.0,68.25,0,0.0,0.0,0,0.0,0.0,2,5.0,37.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,7.0,9.25,0,0.0,0.0,0,0,0
BTS_วุฒากาศ,1,171.0,171.0,2,10.0,30.5,0,0.0,0.0,0,0.0,0.0,1,57.0,57.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,10.0,32.0,0,0.0,0.0,0,0,0
BTS_สนามเป้า,3,10.0,25.0,1,110.0,110.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,34.0,34.0,0,0.0,0.0,0,0.0,0.0,2,10.0,60.0,0,0.0,0.0,0,0,0
BTS_สุรศักดิ์,2,44.0,62.5,4,6.0,12.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,23.0,36.0,0,0.0,0.0,0,0.0,0.0,1,10.0,10.0,2,40.0,67.0,0,0,0
BTS_อารีย์,2,24.0,42.0,2,53.0,53.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,5.0,31.0,0,0.0,0.0,0,0.0,0.0,3,4.0,30.333333333333332,2,24.0,37.0,0,0,0
BTS_เจริญนคร,2,90.0,145.0,2,180.0,201.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,469.0,469.0,0,0.0,0.0,0,0.0,0.0,2,36.0,168.0,2,311.0,330.5,0,0,0
BTS_เซนต์หลุยส์,3,1.0,86.0,3,14.0,39.666666666666664,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,14.0,14.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,15.0,16.0,2,214.0,259.5,0,0,0
BTS_โพธิ์นิมิตร,1,263.0,263.0,2,31.0,200.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,39.0,72.0,0,0.0,0.0,0,0.0,0.0,3,13.0,18.666666666666668,0,0.0,0.0,0,0,0
MRT กลันตัน,2,5.0,7.5,1,6.0,6.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,5.0,7.5,0,0.0,0.0,0,0,0
MRT กำแพงเพชร,3,35.0,118.33333333333333,3,10.0,18.333333333333332,0,0.0,0.0,0,0.0,0.0,1,700.0,700.0,2,100.0,400.0,1,130.0,130.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0
MRT คลองเตย,2,115.0,165.0,2,10.0,13.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,13.0,24.0,1,35.0,35.0,1,27.0,27.0,2,27.0,31.0,1,17.0,17.0,0,0,0
MRT จรัญฯ13,2,7.654517157,9.5661346385,2,10.0,25.97549165,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,253.7903209,253.7903209,0,0.0,0.0,0,0.0,0.0,2,10.32702314,19.52284806,0,0.0,0.0,0,0,0
MRT ทะเลสาบเมืองทองธานี,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,9.0,27.333333333333332,0,0.0,0.0,0,0,0
MRT ทิพวัล,4,59.0,174.75,2,5.0,12.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,5.0,32.0,0,0.0,0.0,0,0,0
MRT บางกะปิ,4,10.0,33.25,3,3.0,144.33333333333334,1,200.0,200.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,5.0,80.0,0,0.0,0.0,0,0,0
MRT บางขุนนนท์,2,40.0,75.0,3,10.0,143.33333333333334,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,170.0,170.0,0,0.0,0.0,0,0.0,0.0,4,10.0,27.75,0,0.0,0.0,0,0,0
