station,bus_stop_count,bus_stop_min_dist,win_count,win_min_dist,songtaew_count,songtaew_min_dist,minibus_count,minibus_min_dist,taxi_count,taxi_min_dist,tuktuk_count,tuktuk_min_dist,kiss_ride_count,kiss_ride_min_dist,park_ride_car_count,park_ride_car_min_dist,park_ride_moto_count,park_ride_moto_min_dist,bike_parking_count,bike_parking_min_dist,bike_share_count,bike_share_min_dist,scooter_share_count,scooter_share_min_dist
BTS_สนามเป้า,4,10.0,2,110.0,0,0.0,0,0.0,0,0.0,0,0.0,2,34.0,0,0.0,0,0.0,4,10.0,1,0.0,0,0
BTS_สุรศักดิ์,4,44.0,4,6.0,0,0.0,0,0.0,0,0.0,0,0.0,2,23.0,0,0.0,0,0.0,2,10.0,4,40.0,0,0
BTS_อารีย์,4,24.0,4,53.0,0,0.0,0,0.0,0,0.0,0,0.0,2,5.0,0,0.0,0,0.0,4,4.0,4,24.0,0,0
BTS_เจริญนคร,3,90.0,3,180.0,0,0.0,0,0.0,0,0.0,0,0.0,1,469.0,0,0.0,0,0.0,3,36.0,3,311.0,0,0
BTS_เซนต์หลุยส์,5,1.0,5,14.0,0,0.0,0,0.0,0,0.0,3,14.0,0,0.0,0,0.0,0,0.0,3,15.0,5,214.0,0,0
BTS_โพธิ์นิมิตร,2,263.0,4,31.0,0,0.0,0,0.0,0,0.0,0,0.0,4,39.0,0,0.0,0,0.0,4,13.0,0,0.0,0,0
MRT กลันตัน,4,5.0,2,6.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,5.0,0,0.0,0,0
MRT กำแพงเพชร,3,35.0,3,10.0,0,0.0,0,0.0,1,700.0,2,100.0,1,130.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
MRT คลองเตย,2,115.0,2,10.0,0,0.0,0,0.0,0,0.0,0,0.0,2,13.0,1,35.0,1,27.0,2,27.0,1,17.0,0,0
MRT จรัญฯ13,4,7.654517157,4,10.0,0,0.0,0,0.0,0,0.0,0,0.0,2,253.7903209,0,0.0,0,0.0,4,10.32702314,0,0.0,0,0
MRT ทะเลสาบเมืองทองธานี,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,9.0,0,0.0,0,0
