station,bike_parking_count,bike_parking_min_dist,bike_parking_mean_dist,park_ride_moto_count,park_ride_moto_min_dist,park_ride_moto_mean_dist,taxi_count,taxi_min_dist,taxi_mean_dist,bus_stop_count,bus_stop_min_dist,bus_stop_mean_dist,bike_share_count,bike_share_min_dist,bike_share_mean_dist,songtaew_count,songtaew_min_dist,songtaew_mean_dist,win_count,win_min_dist,win_mean_dist,park_ride_car_count,park_ride_car_min_dist,park_ride_car_mean_dist,scooter_share_count,scooter_share_min_dist,scooter_share_mean_dist,tuktuk_count,tuktuk_min_dist,tuktuk_mean_dist,kiss_ride_count,kiss_ride_min_dist,kiss_ride_mean_dist,minibus_count,minibus_min_dist,minibus_mean_dist
_PTSE_ฟอร์มกรอกข้อมูล_PK07 เลี่ยงเมืองปากเกร็ด,3,1.2,11.4,0,0.0,0.0,0,0,0,2,11.0,26.5,0,0,0,0,0.0,0.0,2,40.0,43.5,0,0.0,0.0,0,0,0,0,0,0,2,12.0,26.0,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PK08 แจ้งวัฒนะ-ปากเกร็ด 28,3,3.0,19.666666666666668,0,0.0,0.0,0,0,0,3,48.0,154.66666666666666,0,0,0,0,0.0,0.0,2,50.0,67.5,0,0.0,0.0,0,0,0,0,0,0,2,15.0,24.5,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PK09 ศรีรัช,2,27.0,38.5,0,0.0,0.0,0,0,0,2,75.0,82.5,0,0,0,0,0.0,0.0,1,24.0,24.0,0,0.0,0.0,0,0,0,0,0,0,1,24.0,24.0,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PK11 แจ้งวัฒนะ 14,3,8.0,15.666666666666666,0,0.0,0.0,0,0,0,2,18.0,31.5,0,0,0,0,0.0,0.0,1,40.0,40.0,0,0.0,0.0,0,0,0,0,0,0,2,5.0,6.0,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PK12 ศูนย์ราชการเฉลิมพระเกียรติ,3,1.0,13.666666666666666,0,0.0,0.0,0,0,0,4,2.4,87.1,0,0,0,0,0.0,0.0,2,40.0,145.0,0,0.0,0.0,0,0,0,0,0,0,2,0.5,7.75,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PK13 โทรคมนาคมแห่งชาติ,3,8.0,18.666666666666668,0,0.0,0.0,0,0,0,4,32.0,101.5,0,0,0,0,0.0,0.0,2,96.0,155.5,0,0.0,0.0,0,0,0,0,0,0,2,1.5,28.25,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PK15 ราชภัฎพระนคร,2,1.0,4.5,0,0.0,0.0,0,0,0,2,63.0,104.0,0,0,0,0,0.0,0.0,1,10.0,10.0,0,0.0,0.0,0,0,0,0,0,0,2,20.0,22.5,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PK17 รามอินทรา 3,4,2.5,12.875,0,0.0,0.0,0,0,0,4,90.0,152.5,0,0,0,0,0.0,0.0,2,156.0,163.0,0,0.0,0.0,0,0,0,0,0,0,3,5.0,15.666666666666666,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PK18 ลาดปลาเค้า,4,5.0,18.75,0,0.0,0.0,0,0,0,4,15.0,90.0,0,0,0,1,250.0,250.0,2,45.0,47.5,0,0.0,0.0,0,0,0,0,0,0,2,5.0,27.5,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PK19 รามอินทรา กม.4,4,3.0,13.5,0,0.0,0.0,0,0,0,4,6.0,194.25,0,0,0,0,0.0,0.0,3,65.0,207.33333333333334,0,0.0,0.0,0,0,0,0,0,0,2,5.0,31.0,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PK20 มัยลาภ,4,8.0,21.75,0,0.0,0.0,0,0,0,4,45.0,177.25,0,0,0,0,0.0,0.0,2,63.0,186.0,0,0.0,0.0,0,0,0,0,0,0,2,3.5,24.75,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PK21 วัชรพล,4,2.0,14.5,0,0.0,0.0,0,0,0,2,57.0,60.5,0,0,0,0,0.0,0.0,1,45.0,45.0,0,0.0,0.0,0,0,0,0,0,0,2,35.0,36.5,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PK22 รามอินทรา กม.6,4,1.0,9.25,0,0.0,0.0,0,0,0,4,47.0,218.75,0,0,0,0,0.0,0.0,4,20.0,186.75,0,0.0,0.0,0,0,0,0,0,0,3,16.0,67.66666666666667,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PK23 คู้บอน,4,3.0,50.5,0,0.0,0.0,0,0,0,3,50.0,106.66666666666667,0,0,0,0,0.0,0.0,1,80.0,80.0,0,0.0,0.0,0,0,0,0,0,0,2,6.5,38.25,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PK24 รามอินทรา กม.9,4,4.0,10.75,0,0.0,0.0,0,0,0,4,45.0,178.0,0,0,0,0,0.0,0.0,1,25.0,25.0,0,0.0,0.0,0,0,0,0,0,0,3,2.5,4.5,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PK25 วงแหวนรามอินทรา,3,14.0,36.333333333333336,0,0.0,0.0,0,0,0,4,1.0,207.5,0,0,0,1,,,1,5.0,5.0,0,0.0,0.0,0,0,0,0,0,0,2,8.0,20.5,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PK26 นพรัตน์,4,7.0,8.625,0,0.0,0.0,0,0,0,4,45.0,154.75,0,0,0,0,0.0,0.0,1,100.0,100.0,0,0.0,0.0,0,0,0,0,0,0,2,1.5,2.75,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PK27 บางชัน,4,0.5,7.0,0,0.0,0.0,0,0,0,4,37.0,154.5,0,0,0,0,0.0,0.0,3,45.0,222.0,0,0.0,0.0,0,0,0,0,0,0,3,20.0,28.0,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PK28 เศรษฐบุตรบำเพ็ญ,4,4.0,19.25,0,0.0,0.0,0,0,0,4,90.0,125.0,0,0,0,0,0.0,0.0,3,54.0,111.33333333333333,0,0.0,0.0,0,0,0,0,0,0,2,12.0,32.0,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PK29 ตลาดมีนบุรี,4,3.0,11.75,0,0.0,0.0,0,0,0,4,6.0,110.5,0,0,0,2,75.0,192.5,4,8.0,35.25,0,0.0,0.0,0,0,0,0,0,0,2,7.0,9.5,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PK30 มีนบุรี,1,35.0,35.0,1,90.0,90.0,0,0,0,1,340.0,340.0,0,0,0,0,0.0,0.0,1,97.0,97.0,1,70.0,70.0,0,0,0,0,0,0,1,5.5,5.5,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PP01 คลองบางไผ่,3,5.0,16.666666666666668,1,166.0,166.0,0,0,0,3,2.0,22.333333333333332,0,0,0,0,0.0,0.0,2,45.0,63.5,1,20.0,20.0,0,0,0,0,0,0,3,12.0,22.666666666666668,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PP02 ตลาดบางใหญ่,2,3.0,12.5,0,0.0,0.0,0,0,0,4,60.0,133.75,0,0,0,0,0.0,0.0,4,16.0,24.0,0,0.0,0.0,0,0,0,0,0,0,2,7.0,9.5,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PP03 สามแยกบางใหญ่,4,10.0,28.5,1,5.0,5.0,0,0,0,4,2.0,24.5,0,0,0,0,0.0,0.0,3,37.0,139.0,1,5.0,5.0,0,0,0,0,0,0,2,2.0,11.0,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PP04 บางพลู,3,4.0,9.666666666666666,0,0.0,0.0,0,0,0,2,100.0,102.0,0,0,0,0,0.0,0.0,3,136.0,142.0,0,0.0,0.0,0,0,0,0,0,0,4,2.0,6.5,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PP05 บางรักใหญ่,4,6.0,6.75,0,0.0,0.0,0,0,0,3,66.0,166.33333333333334,0,0,0,0,0.0,0.0,2,20.0,21.0,0,0.0,0.0,0,0,0,0,0,0,2,7.0,36.0,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PP06 บางรักน้อยท่าอิฐ,2,9.0,18.0,1,60.0,60.0,0,0,0,2,65.0,74.0,0,0,0,0,0.0,0.0,2,10.0,38.5,1,16.0,16.0,0,0,0,0,0,0,2,10.0,11.0,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PP07 ไทรม้า,3,1.0,6.0,0,0.0,0.0,0,0,0,2,11.0,33.0,0,0,0,0,0.0,0.0,2,12.0,33.5,0,0.0,0.0,0,0,0,0,0,0,2,6.0,6.5,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PP08 สะพานพระนั่งเกล้า,3,3.0,7.666666666666667,0,0.0,0.0,0,0,0,3,55.0,118.0,0,0,0,0,0.0,0.0,2,12.0,16.0,0,0.0,0.0,0,0,0,0,0,0,1,72.0,72.0,1,90.0,90.0
_PTSE_ฟอร์มกรอกข้อมูล_PP09 แยกนนทบุรี 1,2,10.0,11.5,1,51.0,51.0,0,0,0,3,55.0,191.0,0,0,0,0,0.0,0.0,3,26.0,97.66666666666667,1,32.0,32.0,0,0,0,0,0,0,2,11.0,11.5,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PP10 บางกระสอ,2,3.0,6.5,0,0.0,0.0,0,0,0,3,3.0,140.33333333333334,0,0,0,0,0.0,0.0,2,27.0,71.5,0,0.0,0.0,0,0,0,0,0,0,2,2.0,9.0,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PP12 กระทรวงสาธารณะสุข,2,20.0,20.0,0,0.0,0.0,0,0,0,4,38.0,66.5,0,0,0,0,0.0,0.0,2,13.0,29.0,0,0.0,0.0,0,0,0,0,0,0,2,,,0,0.0,0.0
_PTSE_ฟอร์มกรอกข้อมูล_PP14 วงศ์สว่าง,3,5.0,6.0,0,0.0,0.0,0,0,0,4,56.0,141.75,0,0,0,0,0.0,0.0,3,6.0,62.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
